año_hecho,departamen,provincia,distrito,denuncias_dep,geom
2022,AREQUIPA,AREQUIPA,MARIANO MELGAR,6,-71.5141967|-71.5111672|-71.5002619|-71.5058289|-71.5101346|-71.5119809|-16.4047297|-16.4090864|-16.4014935|-16.4010206|-16.3999119|-16.4019587999999
2022,AREQUIPA,AREQUIPA,MIRAFLORES,4,-71.5159586|-71.5195242999999|-71.5169640999999|-16.4011914|-16.3944008|-16.3926564999999
2022,AREQUIPA,AREQUIPA,PAUCARPATA,13,-71.5019604|-71.5090145|-71.501515|-71.4803467|-71.4870149|-71.4966479|-71.4967961|-71.499073|-71.4971163|-71.4878173|-71.4870916|-71.4846507999999|-71.4766870999999|-16.4116594999999|-16.4147030999999|-16.4133143999999|-16.4159354|-16.4170083999999|-16.4115277999999|-16.4116498999999|-16.4091414|-16.4088631|-16.4069785999999|-16.408923|-16.4075978999999|-16.4066753
2022,AREQUIPA,AREQUIPA,SABANDIA,1,-71.492725165|-16.4510181539999
2022,AREQUIPA,AREQUIPA,SACHACA,3,-71.5778266|-71.5613026|-71.5641368999999|-16.4141534999999|-16.414417|-16.4282241999999
2022,AREQUIPA,AREQUIPA,SOCABAYA,7,-71.5351641|-71.5306643|-71.5302174999999|-71.528625|-71.5282889|-71.5307679|-71.531755|-16.4412359999999|-16.4442695|-16.4427140999999|-16.4495648|-16.4494789999999|-16.4526774999999|-16.4547324
2022,AREQUIPA,AREQUIPA,YANAHUARA,1,-71.5533459|-16.4005381
2022,AREQUIPA,AREQUIPA,YURA,1,-71.6836503|-16.2520984
2022,AREQUIPA,CAMANA,CAMANA,30,-72.7100856|-72.7101317|-72.71071|-72.7105063|-72.7114373|-72.7134795|-72.7136553999999|-72.7115770999999|-72.7104707999999|-72.7104198|-72.710029|-72.7101617|-72.7103664|-72.7105194|-72.7071645|-72.7073566|-72.708579|-72.70856|-72.7075915|-72.7078028999999|-72.7051978|-72.7095746|-16.6291186|-16.6255214|-16.6245021|-16.6238448999999|-16.6240182|-16.6247086|-16.6246576999999|-16.6234115|-16.6235521999999|-16.620842|-16.6200064999999|-16.6200077999999|-16.6202054|-16.6204441999999|-16.6152097999999|-16.6156200999999|-16.6177594|-16.6180459999999|-16.6191349|-16.6220935|-16.620847|-16.6242799999999
2022,AREQUIPA,CARAVELI,CHALA,11,-74.2478837689999|-74.241317722|-74.244064304|-74.245566341|-74.2560806|-15.8651022409999|-15.8477636379999|-15.8517681619999|-15.850405807|-15.8468141
2022,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,3,-72.6524363999999|-72.6532936|-15.8391766|-15.8403809
2022,AREQUIPA,ISLAY,MOLLENDO,7,-72.0150615|-72.0174669|-72.0171862|-72.0062364|-72.0063191|-72.010519|-72.008667|-17.011628|-17.0113191999999|-17.0206337|-17.0178425|-17.0166475|-17.0207384|-17.0237678
2022,CAJAMARCA,CAJAMARCA,CAJAMARCA,4,-78.5127855|-78.5050602|-78.5014829|-78.5012444|-7.16174649999994|-7.18382589999993|-7.16545159999993|-7.16640069999994
2022,CAJAMARCA,CONTUMAZA,CHILETE,1,-78.83968|-7.22073909999995
2022,CAJAMARCA,HUALGAYOC,BAMBAMARCA,1,-78.5418941|-6.69151275599995
2022,CAJAMARCA,JAEN,JAEN,4,-78.8078117|-78.8064644|-78.8004893|-78.7986181|-5.70876079999994|-5.71078899999998|-5.71006549999993|-5.70944119999996
2022,CALLAO,CALLAO,BELLAVISTA,19,-77.1005459|-77.0959489|-77.0995166|-77.1270139|-77.1292026|-77.128179|-77.1074012999999|-77.1075493|-77.1154248999999|-77.1148453|-77.1148075|-77.1220516|-12.0580064|-12.0561066999999|-12.062487|-12.0614282|-12.0630619|-12.0651414|-12.0570992|-12.0589335999999|-12.0640799|-12.0630920999999|-12.0626068|-12.0602792
